time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
0;0;0.0;0.0;18;695120;1611592;86;9.8;20;20;27;27;27
1;0;0.0;0.0;18;695120;1611592;86;12;20;21;32;28;26
2;0;0.0;0.0;18;695120;1611592;86;12;20;19;33;27;26
3;0;0.0;0.0;18;695120;1611592;86;12;20;20;33;28;25
4;0;0.0;0.0;18;695120;1611592;86;12;20;22;32;28;27
5;0;0.0;0.0;18;695120;1611592;86;12;20;20;30;27;29
6;0;0.0;0.0;18;695120;1611592;86;12;20;20;29;28;30
7;0;0.0;0.0;18;695120;1611592;86;12;20;20;29;27;29
8;0;0.0;0.0;18;695120;1611592;86;12;20;19;30;28;30
9;0;0.0;0.0;19;733660;1677128;88;13;20;25;33;31;34
10;0;0.0;0.0;19;733660;1742664;88;13;20;25;37;33;34
11;0;0.0;0.0;19;733660;1742664;88;12;20;24;35;32;34
12;0;0.0;0.0;19;733660;1742664;88;12;20;24;34;31;33
13;0;0.0;0.0;19;733660;1742664;88;12;20;26;37;32;33
14;0;0.0;0.0;19;733660;1742664;88;12;20;24;36;33;32
15;0;0.0;0.0;19;733660;1742664;88;12;20;22;38;30;25
16;0;0.0;0.0;19;733660;1742664;88;13;20;25;38;34;34
17;0;0.0;0.0;19;733660;1742664;88;13;20;34;50;41;40
18;0;0.0;0.0;19;733660;1742664;89;13;20;39;54;51;49
19;0;0.0;0.0;19;733660;1742664;89;12;20;25;37;34;30
20;0;0.0;0.0;19;733660;1742664;89;12;20;21;32;29;29
21;0;0.0;0.0;19;733660;1742664;89;12;20;22;35;30;29
22;0;0.0;0.0;19;733660;1742664;89;12;20;22;38;30;24
23;0;0.0;0.0;19;733660;1742664;89;12;20;22;32;29;31
24;0;0.0;0.0;19;733660;1742664;89;12;20;22;34;36;35
25;0;0.0;0.0;19;733660;1742664;89;13;20;24;31;32;33
26;0;0.0;0.0;19;733660;1742664;89;13;20;39;37;44;42
27;0;0.0;0.0;19;733920;1742664;89;11;20;26;27;34;23
28;0;0.0;0.0;19;733920;1808200;89;12;20;29;30;36;25
29;0;0.0;0.0;19;733920;1808200;89;12;20;27;26;36;23
30;0;0.0;0.0;19;733920;1808200;89;11;20;25;28;34;22
31;0;0.0;0.0;19;733920;1808200;89;12;20;27;28;34;27
32;0;0.0;0.0;19;733920;1808200;89;12;20;30;35;37;27
33;0;0.0;0.0;19;733920;1808200;89;12;20;29;34;36;23
34;0;0.0;0.0;19;733920;1808200;89;12;20;30;32;39;24
35;0;0.0;0.0;19;733920;1808200;89;11;20;26;33;34;16
36;0;0.0;0.0;19;733920;1808200;89;11;20;37;35;36;23
37;0;0.0;0.0;19;733920;1808200;89;11;20;26;33;34;15
38;0;0.0;0.0;19;733920;1808200;89;11;20;28;32;34;17
39;0;0.0;0.0;19;733920;1808200;89;11;20;27;33;33;15
40;0;0.0;0.0;19;733920;1808200;89;11;20;27;31;35;19
41;0;0.0;0.0;19;733920;1808200;89;10;20;26;31;34;22
42;0;0.0;0.0;19;733920;1808200;89;11;20;27;32;34;20
43;0;0.0;0.0;19;733920;1808200;89;11;20;26;34;33;16
44;0;0.0;0.0;19;733920;1808200;89;11;20;28;34;35;16
45;0;0.0;0.0;19;733920;1808200;89;11;20;26;32;34;14
46;0;0.0;0.0;19;733920;1808200;89;11;20;28;38;35;31
47;0;0.0;0.0;19;733920;1808200;89;11;20;27;33;35;15
48;0;0.0;0.0;19;733920;1808200;89;11;20;27;32;34;15
49;0;0.0;0.0;19;733920;1808200;89;11;20;27;33;35;17
50;0;0.0;0.0;19;733920;1808200;89;11;20;26;33;34;15
51;0;0.0;0.0;19;733920;1808200;89;11;20;34;37;43;27
52;0;0.0;0.0;19;733920;1808200;89;11;20;26;30;34;21
53;0;0.0;0.0;19;733920;1808200;89;11;20;27;33;34;17
54;0;0.0;0.0;19;733920;1808200;89;10;20;26;33;34;15
55;0;0.0;0.0;19;733920;1808200;89;11;20;27;34;35;16
56;0;0.0;0.0;19;733920;1808200;89;11;20;27;33;35;15
57;0;0.0;0.0;19;733920;1808200;89;11;20;26;33;34;15
58;0;0.0;0.0;19;733920;1808200;89;11;20;26;32;34;17
59;0;0.0;0.0;19;733920;1808200;89;11;20;27;31;35;24
60;1;1275766.375000;116288.656250;19;739992;1813864;89;12;20;28;34;35;22
61;1;1255176.000000;165440.000000;19;739992;1813864;89;15;20;28;34;37;23
62;1;992624.000000;149232.000000;19;739992;1813864;89;12;20;26;29;34;23
63;1;879024.000000;104976.000000;19;739992;1813864;89;12;20;26;28;34;22
64;1;1371824.000000;140624.000000;19;739992;1813864;89;13;20;26;30;35;25
65;1;994496.000000;132352.000000;19;739992;1813864;89;13;20;25;29;34;23
66;1;892832.000000;158696.000000;19;739992;1813864;89;13;20;28;28;35;24
67;1;1045152.000000;260608.000000;19;739992;1813864;89;14;20;27;32;36;24
68;1;442488.000000;198128.000000;19;739992;1813864;89;13;20;26;29;33;23
69;1;1162800.000000;180448.000000;19;739992;1813864;90;13;20;25;30;34;22
70;1;3113984.000000;289944.000000;19;739992;1813864;89;17;20;32;37;38;26
71;1;1088688.000000;189960.000000;19;739992;1813864;90;14;20;31;32;35;24
72;1;199000.000000;80032.000000;19;739992;1813864;90;12;20;24;28;34;19
73;0;0.0;0.0;19;734816;1808200;90;13;20;29;31;40;27
74;0;0.0;0.0;19;734816;1808200;90;11;20;26;29;35;14
75;1;14862.745117;40993.464844;19;740356;1808200;89;11;20;27;30;35;16
76;1;14424.000000;30344.000000;19;740356;1808200;89;11;20;25;24;32;23
77;1;168;12408.000000;19;740356;1808200;89;11;20;24;29;38;18
78;0;0.0;0.0;19;740356;1808200;89;11;20;27;27;33;24
79;0;0.0;0.0;19;740356;1808200;89;11;20;24;24;32;21
80;0;0.0;0.0;19;740356;1808200;89;11;20;25;28;34;19
81;0;0.0;0.0;19;740356;1808200;89;12;20;26;27;37;22
82;0;0.0;0.0;19;740356;1808200;89;12;20;26;26;34;24
83;0;0.0;0.0;19;740356;1808200;89;12;20;25;24;33;26
84;1;8564.706055;86447.062500;19;740356;1808200;89;12;20;27;27;38;32
85;1;280;20680.000000;19;740356;1808200;89;11;20;25;24;33;23
86;6;42240.000000;49152.000000;19;740356;1808200;89;12;20;30;30;36;24
87;0;0.0;0.0;19;740356;1808200;89;12;20;28;25;38;28
#eof
