time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
0;0;0.0;0.0;18;695156;1546268;71;8.0;20;9.9;5.9;15;8.9
1;0;0.0;0.0;18;695156;1546268;71;10;20;11;6.0;20;18
2;1;5182.390137;28880.503906;19;735540;1679228;73;11;20;13;7.0;20;13
3;1;130376.000000;202856.000000;19;740028;1683004;73;12;20;14;7.9;24;14
4;1;321136.000000;440200.000000;19;740028;1683004;73;13;20;13;7.9;25;13
5;1;100552.000000;178072.000000;19;740028;1683004;75;11;20;12;7.0;24;12
6;1;1011400.000000;635368.000000;19;740028;1748540;75;15;20;17;24;17;21
7;1;86744.000000;186088.000000;19;740028;1748540;74;12;20;15;22;14;13
8;1;38912.000000;45608.000000;19;740028;1748540;74;12;20;18;22;24;16
9;1;1714496.000000;227792.000000;19;740028;1748540;74;14;20;15;24;15;17
10;1;75320.000000;53336.000000;19;740028;1748540;74;11;20;13;26;17;12
11;1;37117.117188;152944.937500;19;740028;1748540;74;12;20;43;32;15;21
12;1;589312.000000;184440.000000;19;740028;1748540;74;13;20;14;20;15;16
13;1;279504.500000;150273.718750;19;740028;1748540;73;12;20;13;18;16;13
14;1;51555.554688;132084.078125;19;740028;1748540;74;13;20;18;22;26;25
15;1;109032.000000;355384.000000;19;740028;1748540;73;13;20;16;21;17;16
16;1;209488.000000;114272.000000;19;740028;1748540;74;13;20;18;20;18;18
17;1;307176.000000;131160.000000;19;740028;1748540;74;14;20;21;22;22;25
18;1;367400.000000;220752.000000;19;740028;1748540;74;12;20;13;18;14;17
19;1;458672.000000;148376.000000;19;740028;1748540;74;13;20;13;20;12;14
20;1;341040.000000;116280.000000;19;740028;1748540;74;13;20;18;20;22;19
21;1;358432.000000;102336.000000;19;740028;1748540;74;16;20;25;34;27;26
22;1;347152.000000;156448.000000;19;740028;1748540;74;13;20;18;23;20;32
23;1;394672.000000;179456.000000;19;740028;1748540;73;13;20;16;18;20;32
24;1;360888.000000;123144.000000;19;740028;1748540;73;12;20;12;17;13;17
25;1;335800.000000;97440.000000;19;740028;1748540;73;12;20;12;18;11;15
26;1;413389.375000;155155.156250;19;740028;1748540;73;13;20;13;21;16;17
27;1;476032.000000;133208.000000;19;740028;1748540;73;12;20;13;20;12;13
28;1;392952.000000;135592.000000;19;740028;1748540;73;13;20;12;22;12;14
29;1;369160.000000;114696.000000;19;740028;1748540;73;12;20;13;18;15;13
30;1;622800.000000;159768.000000;19;740028;1748540;73;13;20;13;20;12;26
31;1;455768.000000;142120.000000;19;740028;1748540;73;12;20;12;19;12;12
32;1;391456.000000;93576.000000;19;740028;1748540;73;11;20;12;18;14;12
33;1;447912.000000;215208.000000;19;740028;1748540;74;13;20;16;18;18;19
