time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
999;0;0;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.4;751032;1177576;92;1.5;17;12;15;9.9;14
1998;0;0;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.4;751032;1177576;92;1.8;17;6.9;6.9;8.9;8.9
2997;0;0;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.4;751032;1177576;92;1.8;17;7.9;8.9;7.9;9.9
3996;0;0;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.4;751032;1177576;92;1.5;17;18;16;20;24
4995;0;0;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.4;751032;1177576;92;1.8;17;13;19;21;18
5994;0;0;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.4;751032;1177576;92;1.8;17;51;32;31;32
6993;0;0;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.4;751032;1177576;92;2.0;17;88;18;42;31
7992;0;368500;20;68;0.0;0.000016;n/a;n/a;n/a;5.0;157;1.0;4961.240234;0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;9.4;757256;1445228;93;4.3;17;50;46;48;50
8991;0;368500;20;60;0.0;-0.0000097;n/a;n/a;n/a;21;157;1.0;1030216.875000;0;0.0;0.0;0.0;28;74;1598554.250000;0;0.0;0.0;0.0;0.0;9.4;757516;1510764;94;4.5;17;47;44;47;51
9990;0;368500;20;65;0.0;-0.000024;n/a;n/a;n/a;28;inf;1.0;1250874.250000;0;0.0;0.0;0.0;28;24;2042299.375000;0;0.0;0.0;0.0;0.0;9.4;757516;1510764;94;5.2;17;46;43;43;42
