time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
0;0;0.0;0.0;13;1060792;1773016;90;12;14;62;62;61;62
1;0;0.0;0.0;13;1061584;1773016;90;10;14;49;46;44;45
2;0;0.0;0.0;13;1061584;1773016;90;10;14;43;44;47;43
3;0;0.0;0.0;13;1061584;1773016;90;9.8;14;40;39;44;40
4;0;0.0;0.0;13;1061584;1773016;90;10;14;47;51;56;44
5;0;0.0;0.0;13;1061584;1773016;90;9.8;14;42;42;48;40
6;0;0.0;0.0;13;1061584;1773016;91;11;14;59;60;61;59
7;0;0.0;0.0;13;1061584;1773016;91;9.5;14;40;40;40;37
8;0;0.0;0.0;13;1061584;1773016;91;9.8;14;40;40;44;40
9;0;0.0;0.0;13;1061584;1773016;91;9.8;14;41;39;45;35
10;0;0.0;0.0;13;1061584;1773016;91;9.3;14;37;38;45;38
11;0;0.0;0.0;13;1061584;1773016;91;9.5;14;39;42;43;37
12;0;0.0;0.0;13;1061584;1773016;91;9.5;14;48;44;52;39
13;0;0.0;0.0;13;1061584;1773016;91;9.5;14;36;37;41;34
14;0;0.0;0.0;13;1061584;1773016;91;9.5;14;45;40;41;39
15;0;0.0;0.0;13;1061584;1773016;91;9.0;14;37;37;36;34
16;0;0.0;0.0;13;1061584;1773016;91;9.2;14;39;38;39;36
17;0;0.0;0.0;13;1061584;1773016;91;9.5;14;41;39;38;37
18;0;0.0;0.0;13;1061584;1773016;91;9.5;14;38;46;43;42
19;0;0.0;0.0;13;1061584;1773016;91;9.5;14;42;45;42;40
20;0;0.0;0.0;13;1061584;1773016;91;9.5;14;46;49;44;41
21;0;0.0;0.0;13;1061584;1773016;91;9.2;14;43;38;38;36
22;0;0.0;0.0;13;1061584;1773016;91;9.8;14;42;42;45;44
23;0;0.0;0.0;13;1061584;1773016;91;9.2;14;39;39;40;36
24;0;0.0;0.0;13;1061584;1773016;91;9.3;14;42;39;40;37
25;0;0.0;0.0;13;1061584;1773016;91;9.3;14;38;40;38;35
26;0;0.0;0.0;13;1061584;1773016;91;9.5;14;41;40;40;36
27;0;0.0;0.0;13;1061584;1773016;91;9.5;14;40;39;39;36
28;0;0.0;0.0;13;1061584;1773016;91;9.3;14;39;38;38;36
29;0;0.0;0.0;13;1061584;1773016;91;9.3;14;38;38;41;34
30;0;0.0;0.0;13;1061584;1773016;91;9.3;14;41;39;39;35
31;0;0.0;0.0;13;1061584;1773016;91;9.2;14;38;38;39;37
32;0;0.0;0.0;13;1061584;1773016;91;9.3;14;40;42;39;38
33;0;0.0;0.0;13;1061584;1773016;91;9.5;14;40;40;40;40
34;0;0.0;0.0;13;1061584;1773016;91;9.5;14;42;39;41;36
35;0;0.0;0.0;13;1061584;1773016;91;9.5;14;40;40;39;35
36;0;0.0;0.0;13;1061584;1773016;91;9.2;14;39;37;41;35
37;0;0.0;0.0;13;1061584;1773016;91;9.5;14;38;39;39;35
38;0;0.0;0.0;13;1061584;1773016;91;10;14;51;53;54;48
39;0;0.0;0.0;13;1061584;1773016;91;10;14;42;43;48;41
40;0;0.0;0.0;13;1061584;1773016;91;9.2;14;38;39;45;39
41;0;0.0;0.0;13;1061584;1773016;91;9.8;14;40;42;43;38
42;0;0.0;0.0;13;1061584;1773016;91;9.5;14;40;42;52;47
43;0;0.0;0.0;13;1061584;1773016;91;9.2;14;36;39;41;36
44;0;0.0;0.0;13;1061584;1773016;91;9.5;14;38;40;46;38
45;0;0.0;0.0;13;1061584;1773016;91;9.8;14;43;43;49;41
46;0;0.0;0.0;13;1061584;1773016;91;10;14;47;48;52;49
47;0;0.0;0.0;13;1061584;1773016;91;9.5;14;45;46;51;45
48;0;0.0;0.0;13;1061584;1773016;91;9.8;14;38;42;44;39
49;0;0.0;0.0;13;1061584;1773016;91;9.5;14;40;39;44;39
50;0;0.0;0.0;13;1061584;1773016;91;9.3;14;44;40;47;37
51;0;0.0;0.0;13;1061584;1773016;91;9.3;14;37;41;44;37
52;0;0.0;0.0;13;1061584;1773016;91;9.5;14;50;41;56;49
53;0;0.0;0.0;13;1061584;1773016;91;9.5;14;53;45;53;49
54;0;0.0;0.0;13;1061584;1773016;91;9.2;14;39;41;41;37
55;0;0.0;0.0;13;1061584;1773016;91;9.8;14;49;53;51;49
56;0;0.0;0.0;13;1061584;1773016;91;9.3;14;39;40;42;38
57;0;0.0;0.0;13;1061584;1773016;91;9.2;14;40;40;39;36
58;0;0.0;0.0;13;1061584;1773016;91;9.2;14;42;39;40;38
59;0;0.0;0.0;13;1061584;1773016;91;9.5;14;39;39;40;37
60;0;0.0;0.0;13;1061584;1773016;91;9.8;14;41;40;42;38
61;0;0.0;0.0;13;1061584;1773016;91;9.5;14;41;43;41;38
62;0;0.0;0.0;13;1061584;1773016;91;9.8;14;44;42;42;38
63;0;0.0;0.0;13;1061584;1773016;91;9.5;14;43;39;41;39
64;0;0.0;0.0;13;1061584;1773016;91;11;14;55;57;60;53
65;0;0.0;0.0;13;1061584;1773016;90;9.8;14;46;45;49;42
66;0;0.0;0.0;13;1061584;1773016;90;10;14;41;42;43;37
67;0;0.0;0.0;13;1061584;1773016;90;9.3;14;41;41;43;37
68;0;0.0;0.0;13;1061584;1773016;90;10;14;40;43;46;43
69;0;0.0;0.0;13;1061584;1773016;90;9.8;14;47;49;46;48
70;0;0.0;0.0;13;1061584;1773016;90;10;14;43;43;48;40
71;0;0.0;0.0;13;1061584;1773016;90;9.2;14;38;41;40;37
72;0;0.0;0.0;13;1061584;1773016;90;9.8;14;47;40;40;36
73;0;0.0;0.0;13;1061584;1773016;90;9.5;14;43;39;40;37
74;0;0.0;0.0;13;1061584;1773016;90;9.8;14;39;39;41;38
75;0;0.0;0.0;13;1061584;1773016;90;9.5;14;45;42;45;40
76;0;0.0;0.0;13;1061584;1773016;90;9.8;14;40;42;42;38
77;0;0.0;0.0;13;1061584;1773016;90;9.8;14;41;41;41;38
78;0;0.0;0.0;13;1061584;1773016;90;9.8;14;44;38;43;39
79;0;0.0;0.0;13;1061584;1773016;90;9.2;14;40;39;38;35
80;0;0.0;0.0;13;1061584;1773016;90;9.8;14;46;49;47;43
81;0;0.0;0.0;13;1061584;1773016;90;9.5;14;39;38;40;37
82;0;0.0;0.0;13;1061584;1773016;90;9.8;14;43;48;44;37
83;0;0.0;0.0;13;1061584;1773016;90;9.8;14;43;43;43;40
84;0;0.0;0.0;13;1061584;1773016;90;9.8;14;41;41;45;38
85;0;0.0;0.0;13;1061584;1773016;90;9.8;14;41;42;45;39
86;0;0.0;0.0;13;1061584;1773016;90;9.5;14;39;39;44;37
87;0;0.0;0.0;13;1061584;1773016;90;9.5;14;40;39;40;39
88;0;0.0;0.0;13;1061584;1773016;90;9.8;14;41;40;40;39
89;0;0.0;0.0;13;1061584;1773016;90;9.8;14;43;41;41;41
90;0;0.0;0.0;13;1061584;1773016;90;9.5;14;40;41;41;36
91;0;0.0;0.0;13;1061584;1773016;90;9.5;14;38;40;42;38
92;0;0.0;0.0;13;1061584;1773016;90;9.8;14;44;45;42;38
93;0;0.0;0.0;13;1061584;1773016;90;9.5;14;43;49;52;40
94;0;0.0;0.0;13;1061584;1773016;90;9.3;14;39;38;39;35
95;0;0.0;0.0;13;1061584;1773016;90;9.5;14;39;39;45;40
96;0;0.0;0.0;13;1061584;1773016;90;9.8;14;42;39;41;37
97;0;0.0;0.0;13;1061584;1773016;90;10;14;45;46;43;40
98;0;0.0;0.0;13;1061584;1773016;91;10;14;51;47;51;47
99;0;0.0;0.0;13;1061584;1773016;91;11;14;57;57;58;50
100;0;0.0;0.0;13;1061584;1773016;91;11;14;53;54;57;49
101;0;0.0;0.0;13;1061584;1773016;91;10;14;44;43;51;40
102;0;0.0;0.0;13;1061584;1773016;91;9.8;14;58;68;57;52
103;0;0.0;0.0;13;1061584;1773016;91;10;14;53;47;51;49
104;0;0.0;0.0;13;1061584;1773016;91;9.5;14;42;43;44;44
105;0;0.0;0.0;13;1061584;1773016;91;9.5;14;39;39;39;36
106;0;0.0;0.0;13;1061584;1773016;91;10;14;47;48;46;43
107;0;0.0;0.0;13;1061584;1773016;91;11;14;59;59;57;57
108;0;0.0;0.0;13;1061584;1773016;91;12;14;68;65;82;64
109;0;0.0;0.0;13;1061584;1773016;91;12;14;73;68;72;65
110;0;0.0;0.0;13;1061584;1773016;91;10;14;57;62;67;60
111;0;0.0;0.0;13;1061584;1773016;91;12;14;60;60;61;60
112;0;0.0;0.0;13;1061584;1773016;91;10;14;51;45;49;41
113;0;0.0;0.0;13;1061584;1773016;91;11;14;56;60;60;58
114;0;0.0;0.0;13;1061584;1773016;91;10;14;48;44;46;45
115;0;0.0;0.0;13;1061584;1773016;91;10;14;48;45;50;43
116;0;0.0;0.0;13;1061584;1773016;91;10;14;54;53;54;52
117;0;0.0;0.0;13;1061584;1773016;91;10;14;50;51;49;46
118;0;0.0;0.0;13;1061584;1773016;91;9.8;14;45;44;40;39
119;0;0.0;0.0;13;1061584;1773016;91;9.8;14;45;45;44;41
120;0;0.0;0.0;13;1061584;1773016;91;9.2;14;40;41;39;40
121;0;0.0;0.0;13;1061584;1773016;91;10;14;69;55;63;66
122;0;0.0;0.0;13;1061584;1773016;91;10;14;82;66;60;52
123;0;0.0;0.0;13;1061584;1773016;90;9.5;14;50;41;56;35
124;0;0.0;0.0;13;1061584;1773016;90;9.8;14;44;44;46;44
125;0;0.0;0.0;13;1061584;1773016;90;12;14;59;60;59;58
126;0;0.0;0.0;13;1061584;1773016;90;10;14;45;48;45;40
127;0;0.0;0.0;13;1061584;1773016;90;10;14;51;57;56;48
128;0;0.0;0.0;13;1061584;1773016;90;9.3;14;39;43;40;35
129;0;0.0;0.0;13;1061584;1773016;90;9.3;14;39;36;39;34
130;0;0.0;0.0;13;1061584;1773016;90;9.2;14;36;37;38;34
131;0;0.0;0.0;13;1061584;1773016;90;9.0;14;38;39;38;36
132;0;0.0;0.0;13;1061584;1773016;90;9.2;14;38;38;37;34
133;0;0.0;0.0;13;1061584;1773016;90;9.2;14;38;41;47;36
134;0;0.0;0.0;13;1061584;1773016;90;9.3;14;38;36;37;35
135;0;0.0;0.0;13;1061584;1773016;90;9.2;14;37;37;36;32
136;0;0.0;0.0;13;1061584;1773016;90;9.5;14;42;41;43;37
137;0;0.0;0.0;13;1061584;1773016;90;9.0;14;38;35;42;32
