time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
0;0;0.0;0.0;13;1069044;1846812;82;10;15;31;34;32;36
1;0;0.0;0.0;13;1069044;1846812;82;7.0;15;16;21;18;20
2;0;0.0;0.0;13;1069044;1846812;81;6.8;15;15;21;18;19
3;0;0.0;0.0;13;1069044;1846812;82;7.2;15;20;25;23;25
4;0;0.0;0.0;13;1069044;1846812;82;6.8;15;18;21;19;20
5;0;0.0;0.0;13;1069044;1846812;82;6.8;15;14;21;19;27
6;0;0.0;0.0;13;1069044;1846812;81;7.0;15;16;19;20;20
7;0;0.0;0.0;13;1069044;1846812;81;6.8;15;14;21;18;19
8;0;0.0;0.0;13;1069044;1846812;81;6.8;15;15;20;19;20
9;0;0.0;0.0;13;1069044;1846812;81;7.0;15;16;19;18;23
10;0;0.0;0.0;13;1069044;1846812;81;6.8;15;15;16;19;31
11;0;0.0;0.0;13;1069044;1846812;81;6.8;15;13;16;20;34
12;0;0.0;0.0;13;1069044;1846812;81;7.0;15;15;15;18;25
13;0;0.0;0.0;13;1069044;1846812;81;7.0;15;18;17;20;27
14;0;0.0;0.0;13;1069044;1846812;81;6.8;15;15;17;18;30
15;0;0.0;0.0;13;1069044;1846812;81;6.8;15;14;15;19;26
16;0;0.0;0.0;13;1069044;1846812;81;9.0;15;30;25;42;30
17;0;0.0;0.0;13;1069044;1846812;81;7.0;15;16;21;20;22
18;0;0.0;0.0;13;1069044;1846812;82;7.0;15;17;21;19;24
19;0;0.0;0.0;13;1069044;1846812;82;7.0;15;16;21;21;22
20;0;0.0;0.0;13;1069044;1846812;80;1.5;15;4.9;3.9;5.8;4.9
21;0;0.0;0.0;13;1069044;1846812;72;1.2;15;2.0;3.0;5.5;8.0
22;0;0.0;0.0;13;1069176;1912348;72;1.1;14;2.0;2.0;8.0;2.5
#eof
